iter	Passed	Remaining
0	60	29977
1	61	15437
2	63	10602
3	66	8236
4	68	6797
5	70	5809
6	72	5108
7	74	4595
8	76	4186
9	78	3858
10	80	3587
11	83	3381
12	85	3189
13	86	3020
14	88	2874
15	91	2752
16	92	2638
17	94	2536
18	96	2449
19	99	2380
20	101	2309
21	103	2240
22	105	2178
23	106	2122
24	109	2071
25	110	2022
26	113	1980
27	115	1946
28	117	1912
29	119	1874
30	121	1838
31	123	1807
32	125	1774
33	127	1745
34	129	1720
35	131	1700
36	133	1676
37	135	1652
38	137	1627
39	139	1608
40	141	1588
41	143	1569
42	145	1551
43	148	1537
44	150	1522
45	152	1508
46	155	1494
47	157	1481
48	159	1468
49	161	1454
50	163	1442
51	166	1432
52	168	1420
53	170	1408
54	172	1397
55	174	1386
56	176	1374
57	179	1364
58	181	1359
59	184	1349
60	186	1338
61	188	1329
62	190	1320
63	192	1311
64	194	1301
65	196	1294
66	199	1290
67	201	1281
68	204	1274
69	206	1269
70	209	1263
71	211	1258
72	214	1255
73	217	1251
74	220	1247
75	223	1245
76	225	1240
77	229	1240
78	233	1242
79	236	1241
80	240	1243
81	244	1244
82	248	1248
83	252	1250
84	256	1254
85	260	1256
86	266	1263
87	270	1268
88	276	1274
89	281	1281
90	286	1289
91	291	1294
92	297	1300
93	301	1303
94	306	1306
95	311	1310
96	315	1311
97	319	1312
98	324	1312
99	328	1312
100	332	1314
101	336	1314
102	340	1312
103	344	1310
104	347	1308
105	351	1307
106	355	1305
107	359	1304
108	363	1302
109	367	1301
110	370	1299
111	374	1298
112	378	1296
113	382	1295
114	386	1295
115	390	1294
116	394	1292
117	398	1290
118	403	1290
119	407	1288
120	410	1287
121	414	1284
122	418	1283
123	422	1281
124	426	1279
125	430	1277
126	432	1270
127	436	1267
128	439	1264
129	443	1263
130	446	1257
131	450	1256
132	454	1255
133	458	1252
134	462	1249
135	466	1247
136	469	1244
137	473	1241
138	476	1238
139	480	1234
140	483	1230
141	486	1226
142	489	1223
143	493	1220
144	496	1216
145	499	1212
146	503	1208
147	506	1205
148	510	1202
149	513	1199
150	518	1197
151	521	1194
152	525	1191
153	529	1189
154	533	1186
155	536	1184
156	540	1180
157	544	1177
158	547	1174
159	552	1173
160	556	1171
161	561	1170
162	565	1168
163	569	1166
164	573	1163
165	577	1161
166	580	1157
167	583	1153
168	587	1151
169	591	1149
170	596	1146
171	599	1143
172	603	1140
173	607	1137
174	610	1133
175	614	1130
176	617	1126
177	621	1124
178	625	1121
179	629	1118
180	632	1115
181	636	1112
182	640	1110
183	644	1107
184	648	1104
185	652	1101
186	656	1099
187	659	1095
188	663	1091
189	666	1087
190	670	1084
191	674	1081
192	677	1078
193	681	1075
