formula,ionic_conductivity,id,log_conductivity,cif_path
Li7BiO6,1.58489e-06,jqc,-5.800000874803203,data/cifs/0.cif
Li7SbO6,6.7e-08,oi6,-7.173925197299173,data/cifs/1.cif
LiV(PO4)F,8.1e-07,2t8,-6.0915149811213505,data/cifs/2.cif
Li3BP2O8,9.6e-12,ro9,-11.017728766960431,data/cifs/3.cif
Li2NaBP2O8,4.4e-18,7cr,-17.356547323513812,data/cifs/4.cif
Li4P2O7,1e-15,47i,-15.0,data/cifs/5.cif
Li6CuB4O10,1e-13,clt,-13.0,data/cifs/6.cif
Li7P3S11,0.0032,mdp,-2.494850021680094,data/cifs/7.cif
Li0.91Hf2.022(PO4)3,3.2e-07,ix1,-6.494850021680094,data/cifs/8.cif
Li3BiO3,2.4e-10,bq9,-9.619788758288394,data/cifs/9.cif
Li5BiO5,3.9e-09,skm,-8.4089353929735,data/cifs/10.cif
Li7.22Si1.5P0.5O8,1.64e-07,pwr,-6.785156151952302,data/cifs/11.cif
Li4SiS4,1.59e-08,b4c,-7.798602875679548,data/cifs/12.cif
Li5AlS4,1.4e-09,y2l,-8.853871964321762,data/cifs/13.cif
Li3InCl6,0.00204,de5,-2.6903698325741012,data/cifs/14.cif
Li2P2S6,7.8e-11,cfy,-10.10790539730952,data/cifs/15.cif
Li3(Mo8S8O8(OH)8(HWO5(H2O)))*(H2O)18,3.8e-07,na5,-6.42021640338319,data/cifs/16.cif
Li17Sb13S28,1.05e-09,pe2,-8.978810700930062,data/cifs/17.cif
Li0.6[Li0.2Sn0.8S2],0.00012,opo,-3.9208187539523753,data/cifs/18.cif
Li3YBr6,0.00192,elz,-2.7166987712964503,data/cifs/19.cif
Li6Ge2O7,8.5e-07,lkm,-6.070581074285707,data/cifs/20.cif
LiAlCl4,1e-06,p81,-6.0,data/cifs/21.cif
LiYO2,1.8e-08,bv2,-7.7447274948966935,data/cifs/22.cif
LiGaBr4,7e-06,be9,-5.154901959985743,data/cifs/23.cif
LiBO2,1e-08,n27,-8.0,data/cifs/24.cif
LiClC3H7NO,0.00016,goi,-3.795880017344075,data/cifs/25.cif
LaLiO2,1e-15,ecp,-15.0,data/cifs/26.cif
(La0.9Sr0.1)LiO2,6.29e-10,me3,-9.201349354554731,data/cifs/27.cif
La(Li0.76Mg0.08)O2,7.27e-10,zs0,-9.138465589140962,data/cifs/28.cif
Li2.5V2(PO4)3,1.9e-07,lrh,-6.721246399047171,data/cifs/29.cif
LiSbO2,1e-15,1xt,-15.0,data/cifs/30.cif
Li2Sr2Al(PO4)3,1e-15,kbo,-15.0,data/cifs/31.cif
Li4Zn(PO4)2,5.55e-18,5zv,-17.255707016877324,data/cifs/32.cif
Li3BN2,8.7e-08,5bz,-7.060480747381382,data/cifs/33.cif
LiAlH4,8.7e-09,883,-8.060480747381382,data/cifs/34.cif
LiVO3,2.05e-09,uu4,-8.688246138944246,data/cifs/35.cif
Li6Zr2O7,5.2e-10,tws,-9.2839966563652,data/cifs/36.cif
Li3AlF6,5e-07,l9v,-6.301029995663981,data/cifs/37.cif
Li2ZrO3,6.1e-10,t0h,-9.214670164989233,data/cifs/38.cif
Li2CrCl4,1e-15,4kt,-15.0,data/cifs/39.cif
Li2SnS3,1.5e-05,xas,-4.823908740944319,data/cifs/40.cif
Li2BaP2O7,1.59881e-17,kfp,-16.796203144042632,data/cifs/41.cif
Li3Na5(TiS4)2,8.8e-06,qy4,-5.055517327849832,data/cifs/42.cif
LiGd(PO3)4,1e-15,00x,-15.0,data/cifs/43.cif
LiTa2PO8,0.0016,ard,-2.795880017344075,data/cifs/44.cif
Li3ErI6,0.00065,9wf,-3.1870866433571443,data/cifs/45.cif
Li3AlS3,1.31e-08,dmq,-7.882728704344236,data/cifs/46.cif
Li3.7Zn0.7Ga0.3(PO4)2,5.65e-12,uox,-11.247951552180561,data/cifs/47.cif
Li3PS4,2.6e-07,joc,-6.585026652029182,data/cifs/48.cif
Li3SbS4,4.8e-09,mq1,-8.318758762624412,data/cifs/49.cif
Li3VO4,9.2e-14,h6c,-13.036212172654444,data/cifs/50.cif
LiGaO2,2.4e-14,bsa,-13.619788758288394,data/cifs/51.cif
LiB6O9F,1e-15,mde,-15.0,data/cifs/52.cif
Li3SbS3,1e-09,1e9,-9.0,data/cifs/53.cif
Li6SiO4Cl2,1e-10,an2,-10.0,data/cifs/54.cif
LiSi2N3,6.17e-08,tka,-7.209714835966758,data/cifs/55.cif
Li2(PO2N),1e-15,cdk,-15.0,data/cifs/56.cif
Li2SiS3,2e-06,fwz,-5.698970004336019,data/cifs/57.cif
La0.64Li0.08TiO3,0.000335,cy2,-3.474955192963155,data/cifs/58.cif
La0.62Li0.14TiO3,0.000442,5tl,-3.354577730650908,data/cifs/59.cif
La0.595Li0.215TiO3,0.000853,u2y,-3.0690509688324767,data/cifs/60.cif
Li0.4Na0.1La0.5Nb2O6,9.92e-06,ku9,-5.0034883278458215,data/cifs/61.cif
Li0.3Na0.2La0.5Nb2O6,1.11e-05,9n0,-4.954677021213342,data/cifs/62.cif
Li0.2Na0.3La0.5Nb2O6,1.18e-05,ozo,-4.928117992693875,data/cifs/63.cif
Li0.1Na0.4La0.5Nb2O6,1.21e-05,h5i,-4.91721462968355,data/cifs/64.cif
Li0.07Na0.43La0.5Nb2O6,1.23e-05,o9h,-4.910094888560602,data/cifs/65.cif
