formula,log_conductivity,predicted_conductivity
Li5BrP2ClS4,-2.8372328,0.0014546791027315858
Li7SS7P2,-3.0038772,0.0009911121496194294
Li7P2BrS4,-3.299534,0.0005017252984825688
Li6Cl6S4Ge3P,-3.352743,0.00044387123340853234
Li5P4Cl7,-3.6123884,0.0002441246310841495
Li7Cl7P6,-3.6130912,0.00024372989421798363
Li7P6Br5Cl5,-3.7508547,0.00017747831629904835
Li5S3Cl6ZrP3,-3.759656,0.00017391778674394727
Li2PS2,-3.7841148,0.00016439371127514095
Li7NP,-3.829331,0.00014813886060618535
Li5PS,-3.878249,0.00013235824499636562
Li5SP,-3.878249,0.00013235824499636562
Li6S3P,-3.8863986,0.00012989768162976196
Li6Cl3P4,-3.9124594,0.00012233214758573745
Li4P3GeCl4N,-3.936824,0.00011565808573793906
Li5Cl3S7,-3.9456842,0.00011332240948302978
Li5S4Cl2S3,-3.9509072,0.00011196771103964567
LiPCl,-3.9517841,0.00011174186099406259
Li5P2ZrCl6,-3.9554012,0.00011081506358808959
Li5Br3P3,-3.9903486,0.00010224719438353372
Li6N2P,-4.036692,9.189841054758255e-05
Li7P6Br3,-4.068184,8.54704518665084e-05
Li7Br4P4,-4.086893,8.186664635535944e-05
Li5P4Br2,-4.106409,7.826921894842339e-05
Li7P2S6,-4.108412,7.790906637451006e-05
Li7LaO5GeS5,-4.1536627,7.020003036762169e-05
Li4BrCl6La2O2,-4.179867,6.608958122760458e-05
Li7S4P,-4.1850533,6.530504002996927e-05
Li6Cl4SGe3P,-4.185788,6.519465628344401e-05
Li7P5N4Br2Zr2,-4.1911025,6.440172498636828e-05
Li6Cl7P3,-4.194994,6.382723041873929e-05
Li7S5GeP2,-4.204572,6.243498331593457e-05
Li5SCl6P4Ge3,-4.2052355,6.233967014719795e-05
Li6Br6La5P6,-4.212833,6.125859051466348e-05
Li6Cl5S6Ge4P,-4.2135706,6.115463803606045e-05
Li5S6Cl4S,-4.2259054,5.9442162413734335e-05
Li4P2S5,-4.2325454,5.8540253668419995e-05
Li3Cl4LaN2,-4.2332797,5.8441358125584694e-05
Li7BrP3,-4.2439647,5.70210617831147e-05
Li6Cl6S4GeLa4,-4.253724,5.575399605305995e-05
Li3La3PBr7,-4.2799754,5.248371880720431e-05
Li7Br2SiPP2,-4.286454,5.17066022139998e-05
Li4Cl4S5,-4.2907,5.120354149383067e-05
Li7P5Cl3,-4.2934413,5.088135871295153e-05
Li4Ge2Cl7,-4.299489,5.017772881096969e-05
Li5Br4N6La2P7,-4.3031144,4.97605990465976e-05
Li5Ti3P5OCl5,-4.30991,4.8988032805279055e-05
Li5Cl3P3AlTi,-4.316746,4.822297504249308e-05
Li3Br6LaGe,-4.317547,4.813411597193211e-05
Li5Cl5La2Br7,-4.3383055,4.588751082886586e-05
Li3La2Br3Cl5,-4.340019,4.570681928477186e-05
Li7S5Cl6Zr2P7,-4.360962,4.3554998187237446e-05
Li3Cl7La3Ge3,-4.364875,4.316432958776721e-05
Li7Br3S3P7,-4.364993,4.315260321495738e-05
Li4ZrBr3S2P5,-4.366959,4.2957697949016746e-05
Li5Br5N6P6La6,-4.3675294,4.290131457811733e-05
Li5P4Ge2Cl5,-4.37541,4.212985845339194e-05
Li6S6Cl5La,-4.378819,4.180045412245163e-05
LiBr3La,-4.381586,4.1534979456870074e-05
Li3Cl4S2GeP2,-4.382434,4.14539577086215e-05
Li7Cl3S7Ge5P3,-4.391475,4.059990337619775e-05
Li6P2Ge,-4.3928814,4.046863910361804e-05
Li4Br7La2Ge2,-4.3983774,3.995973504937557e-05
Li2ZrCl2P2,-4.4070168,3.9172672348157235e-05
Li4P3Br,-4.416304,3.8343874982543046e-05
Li5Br2S4Ge,-4.422384,3.781081164444987e-05
Li7P2N,-4.4231176,3.774699642559476e-05
Li3SiCl5,-4.4328,3.691475581654127e-05
Li7LaPBr,-4.437818,3.649068365732857e-05
Li5La2N6O4Br3,-4.438336,3.644718573893165e-05
Li5P6AlN3Zr,-4.440739,3.62460762726225e-05
Li7FP2,-4.4417744,3.615976505325069e-05
Li7Zr2Br5P5N2,-4.4432187,3.603971102132938e-05
Li5LaCl4P5Zr3,-4.4440727,3.5968911889964484e-05
Li7S4Br7La5Cl4,-4.4485426,3.560060676435523e-05
Li6P2F,-4.4504824,3.544194930162888e-05
Li5Cl5P3,-4.4515886,3.535178928975504e-05
Li6Cl7Br7La4,-4.4527287,3.525910628413848e-05
Li3NP2Br3,-4.454419,3.512214245024482e-05
Li5P2Cl6,-4.462508,3.4474025616446195e-05
Li2Br3LaCl2,-4.463097,3.442730285350604e-05
Li7P6Cl3,-4.469841,3.38968233433791e-05
Li7GeP5,-4.4775767,3.329839493940265e-05
Li6Br5P5S6,-4.5064726,3.115497449098089e-05
Li5La2O7Si3Br,-4.508765,3.099095789560124e-05
Li3S3Br4La2,-4.513257,3.067206387787912e-05
Li7N2S7P3Ge4,-4.517374,3.0382674436233767e-05
Li2BrP2,-4.5216103,3.0087749178087133e-05
Li6PGe3Cl5,-4.527291,2.969675527136898e-05
Li4Zr2Br5P7N4,-4.532312,2.9355399831035484e-05
Li4ClP6Br3La2,-4.54161,2.873359724360468e-05
Li6La2Br5N6,-4.546525,2.8410246377515294e-05
Li4La3BrP3N5,-4.5530744,2.798501860690086e-05
LiBr4SiLa6Cl7,-4.5536575,2.7947470087845798e-05
Li7BrAl,-4.5602264,2.7527932835923946e-05
Li7AlBr,-4.5602264,2.7527932835923946e-05
Li7ZrS6P7,-4.565072,2.7222499593886078e-05
Li4PS2,-4.5656834,2.7184202708155643e-05
Li4S2P,-4.5656834,2.7184202708155643e-05
Li6BrBr6LaP6,-4.570888,2.6860370571813927e-05
Li3BrN2LaP,-4.576099,2.6540004978778478e-05
Li5P3Cl3,-4.595729,2.536711045846204e-05
Li5S2ZrCl5,-4.596891,2.5299328838163865e-05
Li5P5GeLa3O7,-4.60347,2.4918964994207207e-05
Li2PBr6La,-4.6035557,2.4914048181545192e-05
Li6ClP3,-4.6044044,2.486540859103892e-05
Li7Br4N2La3P6,-4.610741,2.4505242241608503e-05
LiP2Br2S3Zr3,-4.613752,2.433593294165724e-05
Li5Cl6Cl5Ge2P3,-4.6178613,2.4106751996085386e-05
LiLaBr5S3,-4.6197,2.4004905465538196e-05
Li5P4SiNCl3,-4.6242576,2.3754308915362745e-05
Li5Cl7S3Ti2,-4.626784,2.361652528809542e-05
Li4P4Cl6Zr5P6,-4.633707,2.324304376730338e-05
Li5LaBr3P5N7,-4.6377993,2.302505625808006e-05
LiBrCl4Zr5P4,-4.639538,2.2933059614480485e-05
Li6Cl4La3N7,-4.639967,2.291041731665747e-05
Li4NSi2P2Cl4,-4.6413493,2.2837612513829528e-05
Li4Cl2S7,-4.643564,2.2721447749700036e-05
Li4S7Cl2,-4.643564,2.2721447749700036e-05
Li3BrP3,-4.645234,2.263424434782979e-05
Li7Br2P5Cl7Al6,-4.65206,2.2281273008428865e-05
Li7Al2BrP5N,-4.656969,2.2030837138603593e-05
Li5GeCl7ZrS,-4.6580586,2.197563332291955e-05
Li6Cl6P7,-4.6621633,2.1768910809575773e-05
Li5N2La2Cl6,-4.6639204,2.1681014505558506e-05
Li3Ti2Cl6P7N5,-4.6642003,2.1667045733047714e-05
LiS2Br5La2,-4.6652136,2.1616550907064384e-05
Li3Cl5P6Zr2,-4.6762686,2.1073244206993677e-05
Li3S3Cl5Zr4P4,-4.676464,2.1063764957550104e-05
Li5Br5P4La4P4,-4.677676,2.1005063558850772e-05
Li5GeBr6AlLa2,-4.679658,2.09094206633e-05
Li7P6S6Cl5,-4.6855607,2.06271534780143e-05
Li7N3Ge4P5,-4.686011,2.0605777213980484e-05
Li6S4Cl7ZrP5,-4.690821,2.037881843581155e-05
Li4BrSiS6,-4.6936913,2.0244576681158092e-05
Li4Br7Si2La3P2,-4.6939435,2.023282382618707e-05
Li2N2SiLaCl5,-4.6941147,2.022484956691848e-05
Li6Ge2S7La5Br7,-4.698508,2.0021287406750136e-05
Li5BrS7La2,-4.70516,1.9716962025652143e-05
Li5SCl,-4.7051797,1.9716067666274838e-05
Li7Zr3Br5P6N2,-4.7103963,1.9480661498959507e-05
Li6S4Cl7,-4.711041,1.94517643664929e-05
Li4Ge3Si2La4Cl4,-4.71299,1.936466552223428e-05
Li5Ge4S6La5Cl6,-4.716405,1.9212991915020053e-05
Li3Br6PN2,-4.7170544,1.91842842206842e-05
Li5Br5La3Cl5,-4.7254157,1.8818469521725737e-05
Li2S2La2Br3,-4.727988,1.8707338299376372e-05
Li6La2Br7Cl4,-4.7290106,1.8663341379112157e-05
Li7O3La2Ge6Br7,-4.7300344,1.8619396485796844e-05
Li4Br3P3,-4.7343154,1.8436759902114965e-05
Li7P7Br2,-4.7392335,1.8229153417650326e-05
Li7P4Br6Ge,-4.7419934,1.8113676198757592e-05
Li6P7Cl3Zr2P3,-4.746898,1.7910264517043065e-05
Li4Br2Cl6Zr4P5,-4.750812,1.7749576689302522e-05
Li7Ge6La7F6S7,-4.751596,1.7717563583470897e-05
Li3N6Zr2BrP5,-4.752852,1.7666397581944695e-05
Li5Br6SiLa2P,-4.7567906,1.750690600445637e-05
Li7Br6Si3P3N4,-4.7611923,1.7330364616268932e-05
Li7S6Ti3P4,-4.7646117,1.719445045236958e-05
Li5Br3SiP4N2,-4.774227,1.68179477933744e-05
Li6FP5Br,-4.777444,1.669383051539067e-05
Li3P5Zr2Br7,-4.782284,1.6508818771046932e-05
Li2Br7P6LaZr2,-4.7828255,1.6488247580461895e-05
Li6BrCl6S4,-4.7886505,1.6268574483016612e-05
Li2S7Cl7Zr4P4,-4.803004,1.57396836761506e-05
Li4Cl7La3N6,-4.8057227,1.5641460418209758e-05
Li6LaAl2Br2O4,-4.8069334,1.559791681921961e-05
LiClS,-4.808092,1.5556360541340877e-05
Li6Br7SP3,-4.8091903,1.5517069310115038e-05
Li7Ge4Ti3Cl5P3,-4.8103614,1.5475283006906325e-05
Li7Ti6Al2Cl4P6,-4.812721,1.5391431009858987e-05
Li6BrOAl2,-4.8127255,1.5391271530327003e-05
Li7Br5F4La4P5,-4.817311,1.5229617642566611e-05
Li6Zr5LaS6Br7,-4.821509,1.5083113530794687e-05
Li2S7P4Ge2La3,-4.8234434,1.5016080920534315e-05
Li7Ti3Cl6S7Br3,-4.8234715,1.5015109371870817e-05
Li7La2Br3SCl5,-4.8242035,1.4989822836936127e-05
Li5Cl7P6Ge,-4.8283596,1.4847057825491435e-05
Li7S3Cl6Cl2,-4.829264,1.4816171622539702e-05
Li6Cl5P2,-4.829664,1.480253170655206e-05
