formula,predicted_log_conductivity,predicted_conductivity
Li5BrP2ClS4,-2.8372328,0.0014546791
Li7P2BrS4,-3.299534,0.0005017252
Li7Cl7P6,-3.6130912,0.00024372988
Li5PS,-3.878249,0.00013235827
Li6Cl3P4,-3.9124594,0.00012233216
Li4P3GeCl4N,-3.936824,0.00011565806
Li5Cl3S7,-3.9456842,0.000113322414
LiPCl,-3.9517841,0.00011174185
Li5Br3P3,-3.9903486,0.0001022472
Li7P6Br3,-4.068184,8.547047e-05
Li7Br4P4,-4.086893,8.186663e-05
Li5P4Br2,-4.106409,7.826921e-05
Li7LaO5GeS5,-4.1536627,7.020003e-05
Li4BrCl6La2O2,-4.179867,6.608961e-05
Li7S4P,-4.1850533,6.530503e-05
Li7P5N4Br2Zr2,-4.1911025,6.440173e-05
Li7S5GeP2,-4.204572,6.2434956e-05
Li5SCl6P4Ge3,-4.2052355,6.233967e-05
Li6Br6La5P6,-4.212833,6.12586e-05
Li4P2S5,-4.2325454,5.8540256e-05
Li3La3PBr7,-4.2799754,5.2483716e-05
Li4Ge2Cl7,-4.299489,5.0177725e-05
Li5Ti3P5OCl5,-4.30991,4.898805e-05
Li5Cl3P3AlTi,-4.316746,4.8222948e-05
Li3Cl7La3Ge3,-4.364875,4.3164346e-05
Li4ZrBr3S2P5,-4.366959,4.295769e-05
Li5Br5N6P6La6,-4.3675294,4.2901316e-05
LiBr3La,-4.381586,4.153497e-05
Li2ZrCl2P2,-4.4070168,3.9172675e-05
Li4P3Br,-4.416304,3.8343864e-05
Li5Br2S4Ge,-4.422384,3.781083e-05
Li7P2N,-4.4231176,3.774699e-05
Li7LaPBr,-4.437818,3.649068e-05
Li5La2N6O4Br3,-4.438336,3.6447196e-05
Li5P6AlN3Zr,-4.440739,3.6246063e-05
Li5LaCl4P5Zr3,-4.4440727,3.596891e-05
Li7S4Br7La5Cl4,-4.4485426,3.5600606e-05
Li3NP2Br3,-4.454419,3.512213e-05
Li5P2Cl6,-4.462508,3.447401e-05
Li6Br5P5S6,-4.5064726,3.1154974e-05
Li5La2O7Si3Br,-4.508765,3.099094e-05
Li7N2S7P3Ge4,-4.517374,3.0382671e-05
Li6PGe3Cl5,-4.527291,2.9696768e-05
Li4ClP6Br3La2,-4.54161,2.8733613e-05
Li7AlBr,-4.5602264,2.752793e-05
Li7BrAl,-4.5602264,2.752793e-05
Li4S2P,-4.5656834,2.7184205e-05
Li5S2ZrCl5,-4.596891,2.5299332e-05
Li5P5GeLa3O7,-4.60347,2.4918974e-05
Li2PBr6La,-4.6035557,2.4914048e-05
LiP2Br2S3Zr3,-4.613752,2.4335939e-05
Li5P4SiNCl3,-4.6242576,2.375431e-05
Li5Cl7S3Ti2,-4.626784,2.3616534e-05
Li5LaBr3P5N7,-4.6377993,2.3025059e-05
Li4Cl2S7,-4.643564,2.2721437e-05
Li4S7Cl2,-4.643564,2.2721437e-05
Li3BrP3,-4.645234,2.2634238e-05
Li7Br2P5Cl7Al6,-4.65206,2.228127e-05
Li5GeCl7ZrS,-4.6580586,2.1975631e-05
Li3Ti2Cl6P7N5,-4.6642003,2.1667045e-05
Li3Cl5P6Zr2,-4.6762686,2.1073245e-05
Li5GeBr6AlLa2,-4.679658,2.0909423e-05
Li7N3Ge4P5,-4.686011,2.0605785e-05
Li4BrSiS6,-4.6936913,2.0244579e-05
Li6Ge2S7La5Br7,-4.698508,2.0021298e-05
Li5BrS7La2,-4.70516,1.9716956e-05
Li6S4Cl7,-4.711041,1.9451765e-05
Li5Ge4S6La5Cl6,-4.716405,1.9212996e-05
Li3Br6PN2,-4.7170544,1.9184286e-05
Li2S2La2Br3,-4.727988,1.870735e-05
Li7O3La2Ge6Br7,-4.7300344,1.86194e-05
Li7Ge6La7F6S7,-4.751596,1.7717564e-05
Li3N6Zr2BrP5,-4.752852,1.76664e-05
Li7Br6Si3P3N4,-4.7611923,1.7330363e-05
Li7S6Ti3P4,-4.7646117,1.719445e-05
Li6FP5Br,-4.777444,1.6693835e-05
Li3P5Zr2Br7,-4.782284,1.6508828e-05
Li2Br7P6LaZr2,-4.7828255,1.648825e-05
Li6BrCl6S4,-4.7886505,1.6268574e-05
Li4Cl7La3N6,-4.8057227,1.564146e-05
Li6LaAl2Br2O4,-4.8069334,1.5597916e-05
LiClS,-4.808092,1.5556356e-05
Li7Ge4Ti3Cl5P3,-4.8103614,1.5475283e-05
Li7Ti6Al2Cl4P6,-4.812721,1.5391439e-05
Li6BrOAl2,-4.8127255,1.539127e-05
Li6Zr5LaS6Br7,-4.821509,1.5083117e-05
Li7Ti3Cl6S7Br3,-4.8234715,1.5015108e-05
Li7La2Br3SCl5,-4.8242035,1.4989823e-05
Li6Cl5P2,-4.829664,1.4802524e-05
Li6La3Ge4F7P2,-4.833841,1.466085e-05
Li5FCl2ZrP6,-4.8365874,1.4568424e-05
Li4Cl7Al,-4.841192,1.4414787e-05
Li6La5S6Br5,-4.848725,1.4166911e-05
Li7Cl7La4N5P2,-4.850981,1.4093497e-05
Li5N4Zr4P7S5,-4.855222,1.395654e-05
Li6S3Cl7Br,-4.8611155,1.3768434e-05
Li3Cl7Ti,-4.8661757,1.3608941e-05
Li2S3Zr5Br6P6,-4.872612,1.3408741e-05
Li2Br7LaN2,-4.876601,1.3286139e-05
Li6GeN2,-4.878156,1.3238653e-05
Li4Br7Ge2Si2La4,-4.887323,1.2962151e-05
Li7Cl4Si3Br2S7,-4.8995233,1.2603082e-05
Li5Ti5P5S4Cl2,-4.907808,1.2364944e-05
Li6N4Al5Br2P6,-4.912157,1.2241734e-05
Li4S3ZrBr7,-4.9148445,1.2166215e-05
Li6LaGe2Al2Cl4,-4.91535,1.2152063e-05
LiLa3Ge2Cl5,-4.9156656,1.2143234e-05
Li4P7Zr4N7,-4.9184866,1.2064614e-05
Li6P4O5La4N6,-4.9211645,1.199045e-05
Li2Cl5La2N,-4.928312,1.1794735e-05
Li2S4ClGe,-4.9300528,1.1747548e-05
Li3P4Br4Ti,-4.9336386,1.1650953e-05
Li6Cl5N4S4Br2,-4.936292,1.157998e-05
Li5BrClLa,-4.9382205,1.15286775e-05
LiBr3N5PTi7,-4.9390283,1.1507255e-05
Li2La4SBr7,-4.9468837,1.13009855e-05
Li2BrP3,-4.9527135,1.1150299e-05
Li4P6Br,-4.955724,1.1073279e-05
Li2S5Zr7ClP4,-4.9597073,1.0972175e-05
Li6Ge4La5Br7P7,-4.959804,1.096973e-05
Li7Al2TiS7Br3,-4.9598985,1.0967346e-05
Li4S3P5Cl3Br7,-4.9606924,1.0947315e-05
Li4Zr2PBr2S4,-4.9614844,1.0927368e-05
Li6PO6La2Ge2,-4.9646997,1.0846766e-05
Li5S2Ti4Br3P6,-4.9695706,1.0725792e-05
Li2Zr7N4S3P4,-4.9699492,1.0716445e-05
Li6Ti7Cl4P7,-4.9777145,1.0526535e-05
Li2S4P4Ti5,-4.981362,1.0438501e-05
Li4P7STi4Br4,-4.9854107,1.0341638e-05
Li2P4Br5Si6Zr6,-4.9888287,1.0260566e-05
Li5GeP2AlBr7,-4.993389,1.0153385e-05
Li5Zr2N6Br7La,-4.9951477,1.0112355e-05
Li5Br3Ti5P5Cl5,-5.0126066,9.7138945e-06
Li7N6F3Zr2La2,-5.013888,9.685278e-06
Li4P5N2Zr7Br3,-5.022291,9.499677e-06
Li5Br4P7Cl7,-5.0247045,9.447035e-06
Li7Ti3N7P4,-5.026072,9.417334e-06
Li4Cl2GeP6,-5.0353565,9.2181435e-06
Li7BrZrN2,-5.040598,9.107561e-06
Li4Br7La6Cl5Ge,-5.041591,9.086755e-06
Li4BrOP6,-5.050878,8.894508e-06
Li4AlS4Cl6,-5.0579176,8.751498e-06
Li6S7Cl6Ti2,-5.0595436,8.718794e-06
Li2PTiS2,-5.06141,8.681405e-06
Li6N7La5Ti3P7,-5.064602,8.617833e-06
Li7P3Br3Zr3S3,-5.065383,8.602348e-06
LiBr3NSiLa,-5.0705924,8.499778e-06
Li6Ge5La2O7,-5.075722,8.399971e-06
Li2Zr5P4Al2S4,-5.0760083,8.394439e-06
Li6TiS7Br5,-5.077794,8.359993e-06
Li7Cl3P4,-5.0787163,8.34226e-06
Li3Zr5Cl2P4N3,-5.079331,8.330462e-06
Li7O2S5Ge6Cl7,-5.0833545,8.25364e-06
Li5Br6P7Ti4,-5.0854025,8.21481e-06
Li7S5Cl6,-5.0884385,8.157583e-06
Li3P4Cl3Br6Ti3,-5.089134,8.144525e-06
Li5N3Si2P4Ti3,-5.091287,8.104251e-06
Li2Cl7La2,-5.0913982,8.102178e-06
Li4Cl6P6Zr,-5.0943255,8.047749e-06
Li7Br5S2La3P,-5.096205,8.012993e-06
Li7P3Ti6N5,-5.0984125,7.97237e-06
LiLaS3P3Ti,-5.101475,7.916355e-06
Li7Cl6La3P6,-5.1023917,7.899658e-06
Li7AlBr3,-5.102431,7.898947e-06
Li7Br3Al,-5.102431,7.898947e-06
Li4OZr4PS5,-5.1034136,7.881093e-06
Li5Cl2Br5P5,-5.10431,7.864841e-06
Li4S3Ti2P2,-5.1045456,7.860576e-06
Li7P4Cl6Ti7Ge7,-5.1086135,7.787293e-06
Li3N6LaZr2O2,-5.112527,7.717437e-06
Li3S3Cl7Al2,-5.1152334,7.669491e-06
Li6N6Ti5P3,-5.1162424,7.6516935e-06
Li4La4Br5Cl2Si7,-5.1162796,7.651039e-06
Li7P7La4Si5Zr7,-5.121529,7.5591142e-06
Li2Zr7GeAlP3,-5.122812,7.536821e-06
Li7S5P6Zr2,-5.128899,7.4319178e-06
Li4Si2Cl7,-5.1322365,7.3750252e-06
Li5Cl4Zr4P3,-5.1331997,7.3586866e-06
Li5P4LaN2,-5.1333237,7.356586e-06
Li4S2Br7Si6La6,-5.137142,7.2921875e-06
Li2Si4Br5PLa4,-5.1371613,7.291867e-06
LiZr5Cl4P4La3,-5.1388974,7.262775e-06
Li2Cl4Ge,-5.1393094,7.2558882e-06
Li6PF,-5.1445885,7.1682234e-06
Li6P3F,-5.1478996,7.1137792e-06
Li6La5Ge7Cl6,-5.1486206,7.101979e-06
Li7P3La5Ge4,-5.157336,6.960874e-06
Li7Si7P2Ti5Cl7,-5.157378,6.9602015e-06
Li7SiCl2,-5.1575165,6.9579855e-06
Li7Cl5PSi4,-5.1654105,6.832655e-06
Li4S4P6Br7,-5.1699967,6.7608803e-06
Li5Cl4P7Ge4,-5.1715255,6.737124e-06
Li7N6P4Ti5,-5.175284,6.6790717e-06
Li3Al3LaBr5,-5.177412,6.6464227e-06
LiZr7P2Br7N3,-5.1789913,6.6222974e-06
Li7Ge3OCl7Br2,-5.1804957,6.5993972e-06
Li6Br6Ti5P5S3,-5.1807256,6.5959057e-06
Li3S5BrTi,-5.182039,6.575991e-06
Li7N6Br3,-5.1854014,6.525271e-06
Li5Br6P6,-5.1857734,6.519685e-06
Li3P4Br7,-5.1861043,6.514719e-06
Li6NP4,-5.186463,6.5093423e-06
Li7Cl7N4,-5.1867476,6.505077e-06
Li3TiClP,-5.190713,6.445952e-06
Li4S7Zr2Cl6,-5.1927896,6.4152036e-06
Li5Br3P7La5,-5.1941733,6.3947955e-06
LiSAlPBr,-5.1988263,6.3266484e-06
LiO2La4Cl2Br5,-5.19989,6.3111697e-06
Li6Zr2PBr,-5.2030463,6.2654703e-06
LiLa6Br7Cl2P4,-5.208142,6.1923884e-06
Li6P4Ti2Br5,-5.209996,6.1660035e-06
Li3Cl6S7Br4Zr7,-5.214221,6.106312e-06
Li5P6ZrLa3S5,-5.2151875,6.0927373e-06
Li3Zr7Ge2N5P4,-5.223714,5.9742874e-06
LiBr2P2,-5.2238617,5.9722547e-06
Li3P6Cl4Ti7,-5.227564,5.92156e-06
Li4P5Si4Ge2La6,-5.2280645,5.9147374e-06
Li4Ti6La2Si6O5,-5.233644,5.8392357e-06
Li3ZrP7,-5.235293,5.8171076e-06
Li3Cl3S,-5.2371526,5.7922516e-06
Li5Br3ZrCl2N,-5.240407,5.7490092e-06
Li7Br6Si3P4La2,-5.2430406,5.7142524e-06
Li3SGe6La2Br4,-5.243745,5.7049933e-06
Li5P2Si3Ti6S2,-5.2442636,5.6981826e-06
Li5O3P4Br2S5,-5.2470193,5.6621416e-06
Li3Si2Cl3P,-5.2470436,5.661824e-06
Li2Cl3Br5Ti,-5.247075,5.661414e-06
Li4Zr5Br3P2Cl5,-5.2475886,5.6547233e-06
Li6Cl2S7OZr6,-5.2477107,5.6531344e-06
Li7S3OGe2,-5.248081,5.6483136e-06
Li7FAl,-5.2490544,5.6356703e-06
Li3La2Si3Br2,-5.2559795,5.5465184e-06
Li6Si3La3Br4,-5.2563586,5.541679e-06
LiZr3P3Ge2,-5.2584105,5.515559e-06
Li6Ti4P7N5Zr5,-5.2593665,5.5034307e-06
Li7P3Si3Br5,-5.2594934,5.5018236e-06
Li7Ti6P6Si2,-5.2605753,5.488134e-06
Li7La7N6Br7Ge6,-5.262591,5.462722e-06
Li5Ti7P3S7,-5.2632847,5.4540023e-06
Li5Si2Cl6S,-5.2635684,5.4504403e-06
LiBr6P2,-5.2651143,5.4310735e-06
Li7Al6Zr3P2Cl6,-5.2699547,5.370878e-06
Li7AlP7Ti,-5.272894,5.334652e-06
Li4S5Br7Zr2Cl,-5.2748,5.311292e-06
LiBr7P6,-5.274945,5.3095196e-06
Li2Br2TiCl5,-5.275022,5.308575e-06
Li2Br5La4S4,-5.2781725,5.270205e-06
Li3P6O2Br5,-5.2790446,5.259632e-06
Li6LaSi3O6Ge4,-5.282468,5.2183373e-06
Li6Zr7Al6N7P3,-5.2842727,5.1966963e-06
Li7Zr5Br4SP2,-5.2864842,5.1703e-06
Li5Ti3P3S3,-5.288791,5.142909e-06
Li5Ti7LaSi6O3,-5.289534,5.1341185e-06
LiLa3Ge2P3,-5.2906017,5.121513e-06
Li7P7O3N3Ti4,-5.2906938,5.120428e-06
Li5P7Si2Br4Zr6,-5.291984,5.105237e-06
Li2Br5Zr3S7,-5.292185,5.102878e-06
LiP2S3Cl6Zr6,-5.2927346,5.096422e-06
Li7O4Ge5Br6S7,-5.294682,5.0736203e-06
Li3S3SiP4Ti4,-5.296474,5.052729e-06
Li2Br3Zr5S6,-5.297579,5.0398917e-06
Li6Si2P,-5.2979064,5.0360914e-06
Li4P7Ti,-5.299066,5.0226618e-06
Li5S4Br5P6,-5.2998805,5.0132517e-06
Li7Cl5S6Si6Zr7,-5.3010163,5.000157e-06
Li2Ge3LaBr,-5.3036838,4.9695404e-06
Li7P7Zr2GeN2,-5.306433,4.938179e-06
Li7Cl7Ti5Al7N3,-5.3067946,4.9340706e-06
Li7N6Ti3Al5P2,-5.3068604,4.933323e-06
Li4AlBr2,-5.3139043,4.8539546e-06
Li2La2N6Ge3S6,-5.314282,4.8497354e-06
Li7Al6P5Br5Ti6,-5.314421,4.848181e-06
Li7N3Ti4P7Al4,-5.3171983,4.8172783e-06
Li3BrS6,-5.3183165,4.804891e-06
Li6Br7Si6P3Ti4,-5.3192515,4.794557e-06
Li5Br7Ge6Zr5,-5.3198724,4.7877074e-06
Li3TiBr4Cl7,-5.320441,4.7814456e-06
LiP4BrZr4,-5.320975,4.7755693e-06
Li3S5Br5Cl2Si,-5.323242,4.7507024e-06
Li4O4TiBr5P4,-5.3237348,4.7453173e-06
Li5Ti3P3Br5,-5.324417,4.737867e-06
Li5OSi,-5.3245277,4.7366607e-06
LiBr7OLa4Ti2,-5.325531,4.725731e-06
Li6PZr7Ge4Si3,-5.327812,4.7009735e-06
Li5Zr5PBr2Si3,-5.3278594,4.7004623e-06
LiBr4P2S,-5.3287373,4.690971e-06
Li4Br3AlP5,-5.3295784,4.681894e-06
Li5O4P5S5Ti5,-5.3311086,4.6654272e-06
Li6S6Ge,-5.3353486,4.6201003e-06
LiBr6Cl4Al,-5.336014,4.6130294e-06
Li7La2Ti5Ge7Cl6,-5.336442,4.6084833e-06
Li4Cl5Ge7La3F,-5.337925,4.5927736e-06
Li5Ge3LaCl3,-5.3386927,4.5846623e-06
LiP2Br5,-5.340817,4.5622915e-06
LiLa4Br7Ge4,-5.343413,4.5351026e-06
Li5Al3P6Zr6,-5.3437805,4.5312654e-06
Li6ZrO4Br4,-5.345019,4.5183633e-06
Li5LaTi6Br7S7,-5.3462505,4.505567e-06
Li5NTi2P4,-5.348382,4.4835087e-06
Li7S3P4,-5.3487372,4.4798426e-06
Li7Al2S2Cl6La,-5.348799,4.479203e-06
Li7Ge3P6N2Zr,-5.3548074,4.4176636e-06
Li6Ti3Si2P2,-5.3577976,4.387351e-06
Li6Cl3P5Br3F2,-5.358891,4.3763193e-06
Li2P3Ge3Zr4,-5.359144,4.3737687e-06
Li2Zr6P3La5N7,-5.360001,4.3651476e-06
Li2Cl6Ge7La4,-5.3615155,4.349952e-06
Li2Br7S3P3,-5.3657675,4.3075715e-06
Li2Br3SiP4,-5.3661866,4.3034165e-06
LiZr5N3LaBr3,-5.3683486,4.2820466e-06
Li4Zr4P4Al,-5.368405,4.281492e-06
Li4S7Al3P2Ti6,-5.36957,4.270023e-06
Li2N5La2P6Br,-5.3713555,4.2525016e-06
Li7Br3P5Ge3La2,-5.372727,4.2390943e-06
LiP3O2Br7,-5.3754864,4.212245e-06
Li6Cl6Ge7Zr7,-5.3791685,4.176683e-06
Li2Br6La3GeF2,-5.379291,4.1755043e-06
Li3Br4ZrGe2Cl,-5.380918,4.1598914e-06
Li3Al4Cl4P,-5.387423,4.098047e-06
Li2TiBr5,-5.387841,4.094103e-06
LiP4Br6,-5.38801,4.092512e-06
Li2S7Zr4P4Si6,-5.3915524,4.0592663e-06
Li6ZrBr6Cl6Ge2,-5.393088,4.0449404e-06
Li3Ge4Br7Zr6,-5.394206,4.0345394e-06
Li3BrClAl2,-5.3955655,4.0219297e-06
Li2P7STi5F4,-5.3961077,4.016912e-06
LiS2Ge2La4Cl3,-5.3972454,4.006403e-06
Li2TiAl2Br2Cl6,-5.399683,3.983979e-06
Li7P2Cl5,-5.403766,3.9466977e-06
Li7P2Cl5,-5.403766,3.9466977e-06
LiBr2P3,-5.409368,3.8961166e-06
Li2Br3Ti6Si5N7,-5.410801,3.883283e-06
Li6Cl3La2S7,-5.4108605,3.88275e-06
LiBr4N2ZrLa2,-5.410989,3.881604e-06
Li6BrN2Cl2Al5,-5.4119854,3.8727067e-06
LiP3Br6,-5.412229,3.8705343e-06
Li7La5Al6P3Br3,-5.4145236,3.850139e-06
Li4F2P2S5Br6,-5.4147034,3.8485455e-06
LiP2Ti3Br3,-5.4149036,3.846771e-06
Li4Ti7Ge2P6Zr2,-5.4167175,3.830738e-06
Li6Ti7Si3Ge3P4,-5.417397,3.8247495e-06
Li5Si4Cl4TiP3,-5.4185405,3.8146925e-06
LiZr5SBr6Ge2,-5.4215207,3.7886048e-06
Li6P4Ti3Si5,-5.4218655,3.7855984e-06
Li2Ti3N2P4,-5.424689,3.761068e-06
Li2Cl3S2N3Zr3,-5.4285526,3.727755e-06
Li5Cl7Zr3Si6,-5.4290695,3.723321e-06
LiBr7Si,-5.4305673,3.7105026e-06
Li7LaGe4N5Br4,-5.4334245,3.6861713e-06
LiS5Zr7F,-5.4347816,3.6746708e-06
Li3S5Zr5Cl3Ge5,-5.43833,3.6447675e-06
Li5Cl5P6,-5.4405713,3.6260074e-06
Li2GeBr2,-5.4424767,3.6101335e-06
Li3AlP6Br7,-5.442848,3.607047e-06
Li2TiBrP4Zr,-5.44577,3.5828632e-06
