formula,predicted_log_conductivity,predicted_conductivity,mp_match,energy_above_hull,formation_energy,stable
Li5BrP2ClS4,-2.8372328,0.0014546791027315,,,,
Li7SS7P2,-3.0038772,0.0009911121496194,,,,
Li7P2BrS4,-3.299534,0.0005017252984825,,,,
Li6Cl6S4Ge3P,-3.352743,0.0004438712334085,,,,
Li5P4Cl7,-3.6123884,0.0002441246310841,,,,
Li7Cl7P6,-3.6130912,0.0002437298942179,,,,
Li7P6Br5Cl5,-3.7508547,0.000177478316299,,,,
Li5S3Cl6ZrP3,-3.759656,0.0001739177867439,,,,
Li2PS2,-3.7841148,0.0001643937112751,,,,
Li7NP,-3.829331,0.0001481388606061,,,,
Li5PS,-3.878249,0.0001323582449963,,,,
Li5SP,-3.878249,0.0001323582449963,,,,
Li6S3P,-3.8863986,0.0001298976816297,,,,
Li6Cl3P4,-3.9124594,0.0001223321475857,,,,
Li4P3GeCl4N,-3.936824,0.0001156580857379,,,,
Li5Cl3S7,-3.9456842,0.000113322409483,,,,
Li5S4Cl2S3,-3.9509072,0.0001119677110396,,,,
LiPCl,-3.9517841,0.000111741860994,,,,
Li5P2ZrCl6,-3.9554012,0.000110815063588,,,,
Li5Br3P3,-3.9903486,0.0001022471943835,,,,
